PROVIDER_ID,IMM_3_DEN,EDAC_30_AMI_DEN,READM_30_HOSP_WIDE_DEN,EDAC_30_HF_DEN,OP_18B_DEN,OP_23_DEN,MORT_30_COPD_DEN,HAI_3_DEN_VOL,HAI_5_DEN_PRED,OP_13_DEN,HAI_5_DEN_VOL,HAI_1_DEN_VOL,READM_30_HIP_KNEE_DEN,H_NUMB_COMP,HAI_6_DEN_VOL,MORT_30_HF_DEN,PC_01_DEN,SAFE_USE_OF_OPIOIDS_DEN,READM_30_COPD_DEN,OP_10_DEN,COMP_HIP_KNEE_DEN,HAI_2_DEN_PRED,OP_29_DEN,OP_22_DEN,MORT_30_AMI_DEN,MORT_30_PN_DEN,OP_36_DEN,MORT_30_CABG_DEN,HAI_1_DEN_PRED,HAI_6_DEN_PRED,H_RESP_RATE_P,HCP_COVID_19_DEN,READM_30_CABG_DEN,PSI_90_SAFETY_DEN,HAI_3_DEN_PRED,OP_8_DEN,MORT_30_STK_DEN,PSI_4_SURG_COMP_DEN,HAI_2_DEN_VOL,OP_32_DEN,OP_35_ED_DEN,OP_35_ADM_DEN,SEP_1_DEN,EDAC_30_PN_DEN,HAI_4_DEN_VOL,HAI_4_DEN_PRED,Total_m_cnt,std_MORT_30_AMI,std_MORT_30_CABG,std_MORT_30_COPD,std_MORT_30_HF,std_MORT_30_PN,std_MORT_30_STK,std_PSI_4_SURG_COMP,std_COMP_HIP_KNEE,std_HAI_1,std_HAI_2,std_HAI_3,std_HAI_4,std_HAI_5,std_HAI_6,std_PSI_90_SAFETY,std_EDAC_30_AMI,std_EDAC_30_HF,std_EDAC_30_PN,std_OP_32,std_READM_30_CABG,std_READM_30_COPD,std_READM_30_HIP_KNEE,std_READM_30_HOSP_WIDE,std_OP_35_ADM,std_OP_35_ED,std_OP_36,std_H_COMP_1_STAR_RATING,std_H_COMP_2_STAR_RATING,std_H_COMP_3_STAR_RATING,std_H_COMP_5_STAR_RATING,std_H_COMP_6_STAR_RATING,std_H_COMP_7_STAR_RATING,std_H_GLOB_STAR_RATING,std_H_INDI_STAR_RATING,std_HCP_COVID_19,std_IMM_3,std_OP_10,std_OP_13,std_OP_18B,std_OP_22,std_OP_23,std_OP_29,std_OP_8,std_PC_01,std_SAFE_USE_OF_OPIOIDS,std_SEP_1
010001,4115,296,2924,679,345,,122,240,11.232,193,103195,9538,34,643,103195,610,46,4303,130,1478,32,23.712,17,52960,291,489,668,157,10.082,65.234,17,2712,151,,6.618,66,414,125,16332,170,202,202,131,490,,,44,1.4059231766,-1.04536983,1.0114961383,0.6509042552,-0.31537481,0.0237662145,-0.732077156,0.6987290924,0.3036701043,0.7390780677,-0.467783407,,0.4764461302,-0.105703392,0.1030011909,1.0242728709,-0.368843082,-0.44812688,0.2899733314,0.6074990774,0.8593817676,0.1924519392,0.7683592821,-1.028886475,0.627910307,-0.257980078,-1.154063558,0.5707605124,-0.231670805,-0.254180641,-0.312251048,0.9331768019,0.7193713829,0.0203364607,-0.52501682,1.0447164901,0.0802910279,0.7813730793,-1.062057844,-1.138829195,,-3.171398292,0.5880106234,0.1409842852,0.5630493928,0.4497722506
010005,2407,,1056,176,1154,13,133,102,1.631,177,35424,3410,144,714,33872,162,193,2244,143,850,138,3.262,180,56820,28,301,406,,2.074,9.503,17,2431,,,2.867,109,97,43,7200,739,107,107,288,305,,,42,-1.492797935,,0.1503091721,-0.366856715,-1.766289321,-0.083024918,-0.57602094,1.1586924721,-0.332255344,-1.072825303,1.149255,,-2.749027367,-0.428085753,-0.058779638,,-0.330781493,0.5483598538,-1.035150204,,2.448388262,1.0383738259,1.653525837,1.891523058,-0.071402726,-2.992837509,-0.243473324,0.5707605124,-1.17226019,0.7686551275,0.6784137042,-0.038194859,-0.226011679,0.5293884968,-0.396114419,-0.26429419,-1.615666449,0.3739931517,0.3032291289,-0.270541921,-0.094781579,0.3347945331,-1.162943345,0.3463329351,-0.171693298,0.9253128974
010006,2560,315,2560,508,349,,141,73,5.397,243,68020,4826,90,1620,64728,455,22,3521,154,973,84,11.164,82,42286,292,616,484,102,5.279,37.771,18,2095,91,,1.935,,271,102,8700,1355,,,162,621,116,1.086,42,-3.138018026,-2.730471876,-0.51214234,-0.135547404,-0.626285062,-0.243211617,-1.004318083,-0.834482173,0.9776423739,1.0287769037,1.149255,1.1084136071,0.5953724076,0.9650665944,-0.867683783,-0.541851828,0.368600205,-0.017925559,1.1054339683,-0.951608837,0.8593817676,0.1924519392,-0.116807273,,,-1.283551615,-1.154063558,-1.44305488,-1.17226019,-1.277016409,-1.3029158,-1.00956652,-1.17139474,-0.488715575,-0.52501682,-0.59154686,-1.064480269,0.3157960191,-0.313955393,0.5977453531,,-0.452309979,,0.5516815849,-0.171693298,-0.263538719
010007,345,,234,35,594,,42,,,,,,33,175,5267,33,,,41,151,33,,111,11202,,101,59,,,1.994,24,245,,,,,,,,109,,,21,85,,,28,,,-2.698232332,-1.014522787,-3.804478754,,,0.0854445862,,,,,,-1.284701742,0.3726359059,,-0.85888604,-0.764193157,-0.219689567,,-0.431686009,0.1924519392,-0.706918309,,,-0.599837257,1.5777071423,1.5776682088,0.70891858,1.7914908957,1.6690784566,0.9331768019,0.7193713829,0.0203364607,-0.52501682,-2.773231326,-0.322498873,,0.583767548,-0.704685558,,-4.888717227,,,,-2.165701306
010008,126,,81,,329,,,,,,,,,,,,,,,74,,,24,6239,,26,,,,,,122,,,,,,,,42,,,,,,,9,,,,,-0.419011561,,,,,,,,,,,,,,0.2899733314,,,,-1.001973828,,,,,,,,,,,,-0.430818911,-2.064183875,0.9282697664,,0.7333880382,1.03188899,,-1.74029918,,,,
010011,,148,1636,294,333,23,55,117,8.719,,80106,9905,32,1334,80106,258,,3360,58,383,28,13.381,24,41057,136,336,249,70,10.751,42.14,26,1402,70,,3.261,,86,67,10399,68,,,205,344,,,39,-0.1609531,1.0008255125,-0.777122945,-0.968260925,-1.559015819,0.4509307443,-1.333150824,-0.52783992,-0.03331603,0.5162328092,1.149255,,0.2707358125,-0.12182251,0.2647820199,0.9436635114,-1.291836614,-0.096942128,0.391905911,-1.43133435,-0.133747291,0.3616363166,-1.887140383,,,0.4257342795,-0.243473324,0.5707605124,-0.231670805,-0.254180641,0.6784137042,-0.038194859,-0.226011679,-0.488715575,-0.485354543,,-0.428496215,,-0.55708869,-1.138829195,-1.454346803,0.6210143556,,,-0.355378971,-0.025768396
010012,683,57,417,84,383,,29,,,119,,,63,302,7600,73,46,936,28,318,59,1.379,97,19030,47,153,118,,,3.51,16,638,,,,,,,2007,514,,,149,160,,,34,-0.239296914,,0.4815349283,-1.292093961,-1.800834905,,,-0.681161047,,1.0287769037,,,,-0.287619153,0.3187089629,-0.21941439,-1.234744231,-0.035484796,-0.423554726,,-0.034434386,0.7000050712,-1.001973828,,,0.4257342795,1.5777071423,1.5776682088,-0.231670805,0.7686551275,0.6784137042,-1.00956652,-0.69870321,0.0203364607,-0.52501682,-0.973341641,-0.704089305,-0.440766704,-0.145632342,-0.704685558,,0.6210143556,,0.5516815849,0.1956780474,1.9952793525
010016,1680,77,1131,229,413,,39,109,2.006,,36682,5208,71,977,36682,194,14,2679,48,628,62,5.989,,32471,81,200,213,38,3.736,14.282,21,1257,37,,2.992,,113,70,8201,86,,,141,214,,,39,-0.552672169,0.7600966487,0.3490446258,0.5583805306,-0.108101308,-0.296607183,1.2567821503,-0.834482173,-0.113486119,0.7425064563,0.2558044989,,-1.212628431,-0.264591841,-1.946222643,-1.388250103,-0.245142917,-1.352427616,0.5957710702,-0.951608837,0.462130144,-0.991838702,0.6208315229,,,0.0838771007,-1.154063558,0.5707605124,-1.17226019,-0.254180641,-1.3029158,-1.00956652,-0.69870321,-0.997767611,-0.37628328,0.1720427035,-1.297674422,,-0.669304058,-0.270541921,,,,0.5516815849,-0.539064643,1.1630832207
010018,610,,,,372,,,,,,,,,,,,,0,,,,,,8123,,,261,,,,,956,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,0.0490742479,,,,,,,,,,,0.4257342795,,,,,,,,,-0.515101251,1.0447164901,,,0.9952238961,1.03188899,,,,,,
010019,1789,,1080,254,366,13,149,44,1.392,,26281,2455,73,349,24056,236,109,2054,162,1028,68,4.715,92,35497,25,227,327,,1.95,10.741,18,1429,,,1.148,105,55,,5829,916,,,325,236,,,38,0.309109783,,0.0178188695,-2.448640518,-2.215381908,-0.723771713,,-1.907730059,-3.203431565,0.3019585222,1.149255,,1.1916109066,-1.333059096,0.3187089629,,-0.364085383,-0.505194402,-1.340947943,,-0.332373103,0.7000050712,0.3257760046,,,0.4257342795,0.6671169089,0.5707605124,0.70891858,-0.254180641,0.6784137042,0.9331768019,0.7193713829,0.5293884968,-0.510143466,-0.100667855,-0.937283458,,-0.239145148,0.1636017162,-2.918493968,-0.666974846,-0.607084943,-0.064364365,-0.355378971,1.4602961249
010021,513,,112,34,311,,27,,,51,,,,117,4550,29,,78,31,219,,,21,16031,,68,,,,2.494,22,378,,,,,,,,126,,,49,65,,,27,,,-0.313406887,-0.736951613,0.0991721934,,,,,,,,,0.101542412,-0.705902954,,-0.421177766,-0.136450413,0.7996362295,,0.2635043322,,-0.264335032,,,,0.6671169089,1.5776682088,0.70891858,0.7686551275,0.6784137042,-0.038194859,0.7193713829,1.0384405328,-0.52501682,-1.082425865,0.3558841179,0.8395702119,0.5650649868,0.1636017162,,-2.813623514,,,0.9304207382,-0.441866462
010022,255,,64,,392,,,,,,,,,,5116,,,95,,147,,,,8600,,,,,,1.509,,472,,,,,,,,42,,,,27,,,10,,,,,,,,,,,,,,1.0249376044,,,,0.7063929921,0.2899733314,,,,-0.116807273,,,,,,,,,,,,-0.366367711,-0.809715306,0.5042803971,,0.583767548,-0.704685558,,,,,-0.906435989,
